OR4F5	NM_001005484
PER3	NM_001289862
UTS2	NM_021995
TNFRSF9	NM_001561
PARK7	NM_001123377
ERRFI1	NM_018948
SLC45A1	NM_001080397
RERE	NM_001042681
ENO1	NM_001428
CA6	NM_001270500
SLC2A7	NM_207420
SLC2A5	NM_003039
GPR157	NM_024980
H6PD	NM_004285
SPSB1	NM_025106
SLC25A33	NM_032315
TMEM201	NM_001130924
C1orf200	ENST00000377320
PIK3CD	NM_005026
CLSTN1	NM_001009566
CTNNBIP1	NM_001012329
LZIC	NM_032368
NMNAT1	NM_001297778
RBP7	NM_052960
UBE4B	NM_001105562
KIF1B	NM_015074
PGD	NM_002631
APITD1	NM_199294
APITD1-CORT	NM_198544
CORT	NM_001302
DFFA	NM_004401
PEX14	NM_004565
CASZ1	NM_001079843
C1orf127	NM_001170754
TARDBP	NM_007375
MASP2	NM_006610
SRM	NM_003132
EXOSC10	NM_001001998
MTOR	NM_004958
ANGPTL7	NM_021146
UBIAD1	NM_013319
PTCHD2	NM_020780
FBXO2	NM_012168
FBXO44	NM_033182
FBXO6	NM_018438
MAD2L2	NM_006341
DRAXIN	NM_198545
AGTRAP	NM_001040196
C1orf167	NM_001010881
MTHFR	NM_005957
CLCN6	NM_001286
NPPA	NM_006172
NPPB	NM_002521
KIAA2013	NM_138346
PLOD1	NM_000302
MFN2	NM_014874
MIIP	NM_021933
TNFRSF8	NM_001243
TNFRSF1B	NM_001066
VPS13D	NM_015378
DHRS3	NM_004753
AADACL4	NM_001013630
AADACL3	NM_001103170
C1orf158	NM_152290
PRAMEF12	NM_001080830
PRAMEF1	NM_023013
PRAMEF11	NM_001146344
HNRNPCL1	NM_001013631
LOC649330	NM_001146181
PRAMEF2	NM_023014
PRAMEF4	NM_001009611
PRAMEF7	NM_001012277
PRAMEF8	NM_001012276
PRAMEF6	NM_001300891
PRAMEF9	NM_001010890
PRAMEF22	NM_001100631
LOC391003	NM_001099850
WI2-3308P17.2	ENST00000436041
PRAMEF5	NM_001013407
HNRNPCP5	NM_001136561
PRAMEF26	ENST00000423177
PRAMEF3	ENST00000376173
PRAMEF10	NM_001039361
LOC645382	NM_001291381
PRAMEF15	NM_001098376
PRAMEF14	NM_001024661
LOC400736	NM_001291380
PRAMEF13	ENST00000376132
PRAMEF19	NM_001099790
PRAMEF18	ENST00000376126
PRAMEF17	NM_001099851
PRAMEF16	NM_001045480
PRAMEF20	NM_001099852
PRAMEF21	ENST00000332192
LRRC38	NM_001010847
PDPN	NM_006474
PRDM2	NM_012231
KAZN	NM_201628
C1orf195	NM_001278501
TMEM51	NM_001136216
FHAD1	NM_052929
EFHD2	NM_024329
CTRC	NM_007272
CELA2A	NM_033440
CELA2B	NM_015849
CASP9	NM_001229
DNAJC16	NM_015291
AGMAT	NM_024758
DDI2	NM_032341
RSC1A1	NM_006511
PLEKHM2	NM_015164
SLC25A34	NM_207348
TMEM82	NM_001013641
FBLIM1	NM_017556
UQCRHL	NM_001089591
SPEN	NM_015001
ZBTB17	NM_001287603
C1orf64	NM_178840
HSPB7	NM_014424
CLCNKA	NM_004070
CLCNKB	NM_000085
FAM131C	NM_182623
EPHA2	NM_004431
ARHGEF19	NM_153213
C1orf134	ENST00000375605
RSG1	NM_030907
FBXO42	NM_018994
SZRD1	NM_001114600
SPATA21	NM_198546
NECAP2	NM_018090
FAM231B	ENST00000601199
NBPF1	NM_017940
FAM231A	NM_001282321
FAM231C	ENST00000600179
MST1L	NM_001271733
CROCC	NM_014675
MFAP2	NM_017459
ATP13A2	NM_022089
SDHB	NM_003000
PADI2	NM_007365
PADI1	NM_013358
PADI3	NM_016233
PADI4	NM_012387
AC004824.2	ENST00000602074
PADI6	NM_207421
RCC2	NM_001136204
ARHGEF10L	NM_018125
ACTL8	NM_030812
IGSF21	NM_032880
KLHDC7A	NM_152375
PAX7	NM_002584
TAS1R2	NM_152232
ALDH4A1	NM_003748
IFFO2	NM_001136265
RP13-279N23.2	ENST00000494072
UBR4	NM_020765
EMC1	NM_015047
MRTO4	NM_016183
AKR7A3	NM_012067
AKR7A2	NM_003689
PQLC2	NM_017765
CAPZB	NM_004930
MINOS1	NM_001204083
MINOS1-NBL1	NM_001204088
NBL1	NM_182744
HTR6	NM_000871
TMCO4	NM_181719
RNF186	NM_019062
OTUD3	NM_015207
PLA2G2E	NM_014589
PLA2G2A	NM_000300
PLA2G5	NM_000929
PLA2G2D	NM_012400
PLA2G2F	NM_022819
PLA2G2C	NM_001105572
UBXN10	NM_152376
VWA5B1	NM_001039500
CAMK2N1	NM_018584
MUL1	NM_024544
FAM43B	NM_207334
CDA	NM_001785
PINK1	NM_032409
DDOST	NM_005216
KIF17	NM_020816
SH2D5	NM_001103161
HP1BP3	NM_016287
EIF4G3	NM_001198801
ECE1	NM_001397
NBPF3	NM_032264
ALPL	NM_000478
RAP1GAP	NM_001145658
USP48	NM_032236
LDLRAD2	NM_001013693
HSPG2	NM_005529
CELA3B	NM_007352
CELA3A	NM_005747
CDC42	NM_001791
WNT4	NM_030761
ZBTB40	NM_014870
EPHA8	NM_020526
C1QA	NM_015991
C1QC	NM_172369
C1QB	NM_000491
EPHB2	NM_004442
LACTBL1	NM_001289974
C1orf234	NM_001242521
KDM1A	NM_001009999
LUZP1	NM_033631
HTR1D	NM_000864
HNRNPR	NM_001102398
ZNF436	NM_030634
C1orf213	ENST00000335648
TCEA3	NM_003196
ASAP3	NM_017707
E2F2	NM_004091
ID3	NM_002167
MDS2	ENST00000374555
RPL11	NM_000975
TCEB3	NM_003198
PITHD1	NM_020362
LYPLA2	NM_007260
GALE	NM_000403
HMGCL	NM_000191
FUCA1	NM_000147
CNR2	NM_001841
PNRC2	NM_017761
SRSF10	NM_054016
MYOM3	NM_152372
IL22RA1	NM_021258
IFNLR1	NM_170743
GRHL3	NM_198174
STPG1	NM_001199013
NIPAL3	NM_020448
RCAN3	NM_001251978
NCMAP	NM_001010980
SRRM1	NM_005839
CLIC4	NM_013943
RUNX3	NM_001031680
SYF2	NM_015484
C1orf63	ENST00000417642
RSRP1	NM_020317
RHD	NM_001282871
TMEM50A	NM_014313
RHCE	NM_020485
TMEM57	NM_018202
LDLRAP1	NM_015627
MAN1C1	NM_020379
SEPN1	NM_020451
RP1-317E23.6	ENST00000527604
AL020996.1	ENST00000536896
MTFR1L	NM_001099625
AUNIP	NM_001287490
PAQR7	NM_178422
STMN1	NM_001145454
PAFAH2	NM_000437
EXTL1	NM_004455
SLC30A2	NM_001004434
TRIM63	NM_032588
PDIK1L	NM_152835
FAM110D	NM_024869
ZNF593	NM_015871
CNKSR1	NM_001297647
CATSPER4	NM_198137
CEP85	NM_022778
SH3BGRL3	NM_031286
UBXN11	NM_183008
CD52	NM_001803
AIM1L	NM_001039775
ZNF683	NM_173574
LIN28A	NM_024674
DHDDS	NM_024887
HMGN2	NM_005517
RPS6KA1	NM_002953
ARID1A	NM_006015
PIGV	NM_001202554
ZDHHC18	NM_032283
SFN	NM_006142
GPN2	NM_018066
GPATCH3	NM_022078
NR0B2	NM_021969
NUDC	NM_006600
C1orf172	NM_152365
TRNP1	NM_001013642
FAM46B	NM_052943
SLC9A1	NM_003047
WDTC1	NM_001276252
TMEM222	NM_032125
SYTL1	NM_001193308
MAP3K6	NM_004672
FCN3	NM_003665
CD164L2	NM_207397
GPR3	NM_005281
WASF2	NM_006990
AHDC1	NM_001029882
FGR	NM_005248
IFI6	NM_022873
FAM76A	NM_001143912
STX12	NM_177424
PPP1R8	NM_014110
AL109927.1	ENST00000601459
THEMIS2	NM_001105556
RPA2	NM_001297558
SMPDL3B	NM_014474
XKR8	NM_018053
EYA3	NM_001990
PTAFR	NM_000952
AL353354.1	ENST00000321830
AL353354.2	ENST00000596102
DNAJC8	NM_014280
ATPIF1	NM_016311
SESN2	NM_031459
MED18	NM_017638
PHACTR4	NM_023923
RCC1	NM_001048194
TRNAU1AP	NM_017846
RAB42	NM_001193532
TAF12	NM_005644
GMEB1	NM_006582
YTHDF2	NM_001173128
OPRD1	NM_000911
EPB41	NM_004437
TMEM200B	NM_001003682
SRSF4	NM_005626
MECR	NM_016011
PTPRU	NM_005704
MATN1	NM_002379
LAPTM5	NM_006762
SDC3	NM_014654
PUM1	NM_001020658
NKAIN1	NM_024522
SNRNP40	NM_004814
ZCCHC17	NM_001282566
FABP3	NM_004102
SERINC2	NM_001199038
AC114494.1	ENST00000596131
TINAGL1	NM_022164
HCRTR1	NM_001525
PEF1	NM_012392
COL16A1	NM_001856
BAI2	NM_001294335
SPOCD1	NM_144569
PTP4A2	NM_080391
AL136115.1	ENST00000391369
KHDRBS1	NM_006559
TMEM39B	NM_018056
KPNA6	NM_012316
TXLNA	NM_175852
CCDC28B	NM_024296
IQCC	NM_001160042
DCDC2B	NM_001099434
TMEM234	NM_019118
EIF3I	NM_003757
FAM167B	NM_032648
LCK	NM_005356
HDAC1	NM_004964
MARCKSL1	NM_023009
FAM229A	NM_001167676
TSSK3	NM_052841
BSDC1	NM_001300958
ZBTB8B	NM_001145720
RP1-27O5.3	ENST00000480336
ZBTB8A	NM_001040441
ZBTB8OS	NM_178547
RBBP4	NM_005610
SYNC	NM_030786
KIAA1522	NM_020888
YARS	NM_003680
S100PBP	NM_022753
FNDC5	NM_153756
HPCA	NM_002143
TMEM54	NM_033504
RNF19B	NM_153341
FKSG48	ENST00000594612
AK2	NM_013411
ADC	NM_001293562
TRIM62	NM_018207
ZNF362	NM_152493
A3GALT2	NM_001080438
PHC2	NM_198040
ZSCAN20	NM_145238
CSMD2	NM_001281956
HMGB4	NM_145205
C1orf94	NM_001134734
GJB5	NM_005268
GJB4	NM_153212
GJB3	NM_024009
GJA4	NM_002060
SMIM12	NM_001164824
DLGAP3	NM_001080418
ZMYM6NB	NM_001195156
RP11-244H3.4	ENST00000487874
ZMYM6	NM_007167
ZMYM1	NM_024772
SFPQ	NM_005066
ZMYM4	NM_005095
KIAA0319L	NM_024874
NCDN	NM_001014839
TFAP2E	NM_178548
PSMB2	NM_002794
C1orf216	NM_152374
CLSPN	NM_022111
AGO4	NM_017629
AGO1	NM_012199
AGO3	NM_024852
TEKT2	NM_014466
ADPRHL2	NM_017825
COL8A2	NM_005202
TRAPPC3	NM_001270894
MAP7D1	NM_018067
THRAP3	NM_005119
SH3D21	NM_001162530
EVA1B	NM_018166
RP11-268J15.5	ENST00000373137
STK40	NM_001282546
LSM10	NM_032881
OSCP1	NM_145047
MRPS15	NM_031280
CSF3R	NM_156039
GRIK3	NM_000831
ZC3H12A	NM_025079
MEAF6	NM_022756
SNIP1	NM_024700
DNALI1	NM_003462
GNL2	NM_013285
RSPO1	NM_001242908
C1orf109	NM_017850
CDCA8	NM_001256875
EPHA10	NM_001099439
MANEAL	NM_001113482
YRDC	NM_024640
C1orf122	NM_198446
MTF1	NM_005955
AL929472.1	ENST00000448796
INPP5B	NM_005540
SF3A3	NM_006802
FHL3	NM_004468
UTP11L	NM_016037
POU3F1	NM_002699
RRAGC	NM_022157
MYCBP	NM_012333
GJA9	NM_030772
RHBDL2	NM_017821
AKIRIN1	NM_024595
NDUFS5	NM_001184979
MACF1	NM_012090
KIAA0754	NM_015038
BMP8A	NM_181809
PABPC4	NM_001135653
HEYL	NM_014571
NT5C1A	NM_032526
HPCAL4	NM_016257
PPIE	NM_001195007
BMP8B	NM_001720
OXCT2	NM_022120
TRIT1	NM_017646
MYCL	NM_001033082
MFSD2A	NM_001136493
CAP1	NM_001105530
PPT1	NM_000310
RLF	NM_012421
TMCO2	NM_001008740
ZMPSTE24	NM_005857
COL9A2	NM_001852
SMAP2	NM_022733
ZFP69B	NM_023070
ZFP69	NM_198494
EXO5	NM_022774
ZNF684	NM_152373
RIMS3	NM_014747
NFYC	NM_001142588
KCNQ4	NM_004700
CITED4	NM_133467
CTPS1	NM_001905
SLFNL1	NM_144990
SCMH1	NM_001172219
FOXO6	NM_001291281
EDN2	NM_001956
HIVEP3	NM_024503
GUCA2B	NM_007102
GUCA2A	NM_033553
FOXJ3	NM_001198850
RIMKLA	NM_173642
ZMYND12	NM_032257
PPCS	NM_024664
CCDC30	NM_001080850
PPIH	NM_006347
YBX1	NM_004559
CLDN19	NM_148960
LEPRE1	NM_001243246
C1orf50	NM_024097
LOC100129924	NM_001242750
CCDC23	NM_199342
ERMAP	NM_018538
ZNF691	NM_001242739
SLC2A1	NM_006516
FAM183A	NM_001101376
EBNA1BP2	NM_001159936
WDR65	NM_001195831
TMEM125	NM_144626
C1orf210	NM_182517
TIE1	NM_005424
MPL	NM_005373
CDC20	NM_001255
ELOVL1	NM_022821
MED8	NM_052877
SZT2	NM_015284
HYI	NM_001243526
PTPRF	NM_002840
KDM4A	NM_014663
ST3GAL3	NM_174963
ARTN	NM_001136215
IPO13	NM_014652
DPH2	NM_001384
ATP6V0B	NM_001294333
B4GALT2	NM_030587
CCDC24	NM_152499
SLC6A9	NM_201649
KLF17	NM_173484
DMAP1	NM_019100
ERI3	NM_024066
RNF220	NM_018150
TMEM53	NM_024587
C1orf228	NM_001145636
KIF2C	NM_006845
RPS8	NM_001012
BEST4	NM_153274
PLK3	NM_004073
TCTEX1D4	NM_001013632
BTBD19	NM_001136537
PTCH2	NM_003738
EIF2B3	NM_020365
HECTD3	NM_024602
UROD	NM_000374
ZSWIM5	NM_020883
HPDL	NM_032756
MUTYH	NM_001128425
TOE1	NM_025077
TESK2	NM_007170
CCDC163P	ENST00000488405
MMACHC	NM_015506
PRDX1	NM_002574
AKR1A1	NM_001202414
NASP	NM_002482
CCDC17	NM_001114938
GPBP1L1	NM_021639
TMEM69	NM_016486
IPP	NM_001145349
MAST2	NM_015112
PIK3R3	NM_003629
TSPAN1	NM_005727
POMGNT1	NM_001243766
LURAP1	NM_001013615
RAD54L	NM_001142548
LRRC41	NM_006369
UQCRH	NM_006004
NSUN4	NM_199044
FAAH	NM_001441
DMBX1	NM_147192
KNCN	NM_001097611
MKNK1	NM_003684
MOB3C	NM_145279
ATPAF1	NM_022745
TEX38	NM_001145474
EFCAB14	NM_014774
CYP4B1	NM_001099772
CYP4A11	NM_000778
CYP4X1	NM_178033
CYP4Z1	NM_178134
CYP4A22	NM_001010969
PDZK1IP1	NM_005764
TAL1	NM_001290404
STIL	NM_001048166
CMPK1	NM_016308
FOXE3	NM_012186
FOXD2	NM_004474
FLJ00388	ENST00000594280
TRABD2B	NM_001194986
AL109659.1	ENST00000601108
SLC5A9	NM_001135181
SPATA6	NM_019073
AGBL4	NM_032785
BEND5	NM_024603
AL645730.2	ENST00000448346
ELAVL4	NM_001144775
DMRTA2	NM_032110
FAF1	NM_007051
CDKN2C	NM_078626
C1orf185	NM_001136508
RNF11	NM_014372
TTC39A	NM_001297665
EPS15	NM_001981
OSBPL9	NM_148909
NRD1	NM_002525
RAB3B	NM_002867
TXNDC12	NM_015913
KTI12	NM_138417
BTF3L4	NM_152265
ZFYVE9	NM_004799
CC2D1B	NM_032449
ORC1	NM_004153
PRPF38A	NM_032864
ZCCHC11	NM_001009881
GPX7	NM_015696
FAM159A	NM_001042693
COA7	NM_023077
ZYG11B	NM_024646
ZYG11A	NM_001004339
ECHDC2	NM_001198961
SCP2	NM_002979
PODN	NM_153703
SLC1A7	NM_001287595
CPT2	NM_000098
C1orf123	NM_017887
MAGOH	NM_002370
LRP8	NM_004631
DMRTB1	NM_033067
GLIS1	NM_147193
NDC1	NM_018087
YIPF1	NM_018982
DIO1	NM_000792
HSPB11	NM_016126
LRRC42	NM_052940
LDLRAD1	NM_001010978
TMEM59	NM_004872
TCEANC2	NM_153035
AL161915.1	ENST00000391366
CDCP2	NM_201546
AL357673.1	ENST00000536061
CYB5RL	NM_001031672
RP11-446E24.4	ENST00000311841
MRPL37	NM_016491
SSBP3	NM_145716
SSBP3-AS1	ENST00000361350
ACOT11	NM_015547
FAM151A	NM_176782
MROH7	NM_001039464
MROH7-TTC4	ENST00000414150
TTC4	NM_004623
PARS2	NM_152268
TTC22	NM_001114108
C1orf177	NM_001110533
DHCR24	NM_014762
TMEM61	NM_182532
BSND	NM_057176
PCSK9	NM_174936
USP24	NM_015306
PPAP2B	NM_003713
PRKAA2	NM_006252
C1orf168	NM_001004303
C8A	NM_000562
C8B	NM_000066
DAB1	NM_021080
OMA1	NM_145243
TACSTD2	NM_002353
MYSM1	NM_001085487
JUN	NM_002228
FGGY	NM_001113411
HOOK1	NM_015888
CYP2J2	NM_000775
C1orf87	NM_152377
NFIA	NM_001145512
TM2D1	NM_032027
INADL	NM_176877
L1TD1	NM_001164835
KANK4	NM_181712
USP1	NM_003368
DOCK7	NM_001271999
ANGPTL3	NM_014495
AL138847.1	ENST00000593719
ATG4C	NM_178221
FOXD3	NM_012183
ALG6	NM_013339
ITGB3BP	NM_001206739
EFCAB7	NM_032437
DLEU2L	ENST00000371086
PGM1	NM_001172818
ROR1	NM_005012
UBE2U	NM_152489
CACHD1	NM_020925
RAVER2	NM_018211
JAK1	NM_002227
AK4	NM_001005353
DNAJC6	NM_001256864
LEPROT	NM_001198681
LEPR	NM_002303
PDE4B	NM_001037341
SGIP1	NM_032291
AL139147.1	ENST00000502413
TCTEX1D1	NM_152665
INSL5	NM_005478
WDR78	NM_024763
MIER1	NM_001077700
SLC35D1	NM_015139
C1orf141	NM_001276351
IL23R	NM_144701
IL12RB2	NM_001559
SERBP1	NM_001018067
GADD45A	NM_001924
GNG12	NM_018841
DIRAS3	NM_004675
WLS	NM_001002292
RPE65	NM_000329
DEPDC1	NM_001114120
LRRC7	NM_020794
LRRC40	NM_017768
SRSF11	NM_004768
ANKRD13C	NM_030816
HHLA3	NM_001031693
CTH	NM_001902
PTGER3	NM_198718
ZRANB2	NM_203350
NEGR1	NM_173808
LRRIQ3	NM_001105659
FPGT	NM_003838
FPGT-TNNI3K	NM_001112808
TNNI3K	NM_015978
LRRC53	ENST00000294635
C1orf173	ENST00000326665
ERICH3	NM_001002912
CRYZ	NM_001130042
TYW3	NM_138467
LHX8	NM_001001933
SLC44A5	NM_152697
ACADM	NM_001286043
RABGGTB	NM_004582
MSH4	NM_002440
ASB17	NM_080868
ST6GALNAC3	NM_152996
ST6GALNAC5	NM_030965
PIGK	NM_005482
AK5	NM_174858
ZZZ3	NM_015534
USP33	NM_015017
FAM73A	NM_001270384
NEXN	NM_144573
FUBP1	NM_003902
DNAJB4	NM_007034
GIPC2	NM_017655
PTGFR	NM_000959
IFI44L	NM_006820
IFI44	NM_006417
ELTD1	NM_022159
LPHN2	NM_012302
TTLL7	NM_024686
PRKACB	NM_001242857
SAMD13	NM_001010971
DNASE2B	NM_021233
RPF1	NM_025065
GNG5	NM_005274
CTBS	NM_004388
C1orf180	ENST00000370624
SSX2IP	NM_014021
LPAR3	NM_012152
MCOLN2	NM_153259
MCOLN3	NM_018298
WDR63	NM_145172
SYDE2	NM_032184
C1orf52	NM_198077
BCL10	NM_003921
DDAH1	NM_012137
CYR61	NM_001554
ZNHIT6	NM_017953
COL24A1	NM_152890
ODF2L	NM_001007022
CLCA2	NM_006536
CLCA1	NM_001285
CLCA4	NM_012128
SH3GLB1	NM_001206652
SEP15	NM_004261
HS2ST1	NM_012262
RP5-1052I5.2	ENST00000370548
LOC101927844	NM_001290053
LMO4	NM_006769
PKN2	NM_006256
GTF2B	NM_001514
CCBL2	NM_001008661
RBMXL1	NM_019610
GBP3	NM_018284
GBP1	NM_002053
GBP2	NM_004120
GBP7	NM_207398
GBP4	NM_052941
GBP5	NM_052942
GBP6	NM_198460
LRRC8B	NM_015350
RP11-302M6.4	ENST00000370453
LRRC8C	NM_032270
LRRC8D	NM_001134479
ZNF326	NM_182976
BARHL2	NM_020063
ZNF644	NM_201269
HFM1	NM_001017975
CDC7	NM_001134420
TGFBR3	NM_003243
BRDT	NM_001242806
EPHX4	NM_173567
SETSIP	NM_001287737
BTBD8	NM_183242
KIAA1107	NM_015237
C1orf146	NM_001012425
GLMN	NM_053274
RPAP2	NM_024813
GFI1	NM_005263
EVI5	NM_005665
RPL5	NM_000969
FAM69A	NM_001006605
MTF2	NM_007358
TMED5	NM_016040
CCDC18	NM_206886
DR1	NM_001938
FNBP1L	NM_001164473
BCAR3	NM_001261408
DNTTIP2	NM_014597
GCLM	NM_002061
ABCA4	NM_000350
ARHGAP29	NM_004815
ABCD3	NM_002858
F3	NM_001993
SLC44A3	NM_001114106
CNN3	NM_001839
ALG14	NM_144988
TMEM56	NM_001199679
TMEM56-RWDD3	NM_001199691
RWDD3	NM_015485
RP11-147C23.1	ENST00000413825
PTBP2	NM_001300986
DPYD	NM_000110
SNX7	NM_015976
LPPR5	NM_001037317
LPPR4	NM_014839
PALMD	NM_017734
FRRS1	NM_001013660
AGL	NM_000643
SLC35A3	NM_001271685
HIAT1	NM_033055
SASS6	NM_194292
TRMT13	NM_019083
LRRC39	NM_001256385
DBT	NM_001918
RTCA	NM_001130841
CDC14A	NM_033312
GPR88	NM_022049
VCAM1	NM_001078
EXTL2	NM_001261441
SLC30A7	NM_133496
DPH5	NM_015958
AC093157.1	ENST00000593496
S1PR1	NM_001400
OLFM3	NM_001288821
COL11A1	NM_080629
LOC101928436	NM_001286997
RNPC3	NM_017619
AMY2B	NM_020978
AMY2A	NM_000699
AMY1A	NM_004038
AMY1C	NM_001008219
AMY1B	NM_001008218
PRMT6	NM_018137
NTNG1	NM_001113226
VAV3	NM_006113
SLC25A24	NM_013386
NBPF4	NM_001143989
NBPF6	NM_001143987
FAM102B	NM_001010883
HENMT1	NM_144584
PRPF38B	NM_018061
FNDC7	NM_001144937
STXBP3	NM_007269
AKNAD1	NM_152763
GPSM2	NM_013296
CLCC1	NM_001048210
WDR47	NM_001142550
TAF13	NM_005645
TMEM167B	NM_020141
C1orf194	NM_001122961
KIAA1324	NM_020775
SARS	NM_006513
CELSR2	NM_001408
PSRC1	NM_032636
MYBPHL	NM_001010985
SORT1	NM_002959
PSMA5	NM_002790
SYPL2	NM_001040709
ATXN7L2	NM_153340
CYB561D1	NM_001134400
AMIGO1	NM_020703
GPR61	NM_031936
GNAI3	NM_006496
GNAT2	NM_005272
AMPD2	NM_001257360
GSTM4	NM_000850
GSTM2	NM_000848
GSTM1	NM_000561
GSTM5	NM_000851
GSTM3	NM_000849
EPS8L3	NM_139053
CSF1	NM_172212
AHCYL1	NM_006621
STRIP1	NM_033088
ALX3	NM_006492
UBL4B	NM_203412
SLC6A17	NM_001010898
KCNC4	NM_004978
RBM15	NM_022768
SLC16A4	NM_004696
LAMTOR5	NM_006402
PROK1	NM_032414
KCNA10	NM_005549
KCNA2	NM_004974
KCNA3	NM_002232
CD53	NM_001040033
LRIF1	NM_018372
DRAM2	NM_178454
CEPT1	NM_006090
DENND2D	NM_024901
CHI3L2	NM_004000
CHIA	NM_201653
PIFO	NM_181643
OVGP1	NM_002557
WDR77	NM_024102
ATP5F1	NM_001688
C1orf162	NM_174896
ADORA3	NM_020683
RAP1A	NM_002884
FAM212B	NM_019099
DDX20	NM_007204
KCND3	NM_004980
LOC643355	NM_001270945
CTTNBP2NL	NM_018704
WNT2B	NM_024494
ST7L	NM_017744
CAPZA1	NM_006135
MOV10	NM_001130079
RHOC	NM_001042678
RP11-426L16.10	ENST00000606505
PPM1J	NM_005167
FAM19A3	NM_001004440
SLC16A1	NM_003051
LRIG2	NM_014813
MAGI3	NM_001142782
PHTF1	NM_006608
RSBN1	NM_018364
PTPN22	NM_015967
BCL2L15	NM_001010922
AP4B1	NM_006594
DCLRE1B	NM_022836
HIPK1	NM_198268
OLFML3	NM_020190
SYT6	NM_001270805
TRIM33	NM_015906
BCAS2	NM_005872
DENND2C	NM_001256404
AMPD1	NM_001172626
NRAS	NM_002524
CSDE1	NM_001242891
SIKE1	NM_001102396
SYCP1	NM_003176
TSHB	NM_000549
TSPAN2	NM_005725
NGF	NM_002506
VANGL1	NM_001172412
CASQ2	NM_001232
NHLH2	NM_005599
SLC22A15	NM_018420
MAB21L3	NM_152367
AL136376.1	ENST00000598661
ATP1A1	NM_000701
CD58	NM_001779
IGSF3	NM_001542
C1orf137	NM_001013643
CD2	NM_001767
PTGFRN	NM_020440
CD101	NM_004258
TTF2	NM_003594
TRIM45	NM_025188
VTCN1	NM_024626
MAN1A2	NM_006699
FAM46C	NM_017709
GDAP2	NM_017686
WDR3	NM_006784
SPAG17	NM_206996
TBX15	NM_152380
WARS2	NM_015836
HAO2	NM_001005783
HSD3B2	NM_000198
HSD3B1	NM_000862
ZNF697	NM_001080470
PHGDH	NM_006623
HMGCS2	NM_005518
REG4	NM_032044
NBPF7	NM_001047980
ADAM30	NM_021794
NOTCH2	NM_024408
FAM72B	NM_001100910
FCGR1B	NM_001017986
PPIAL4G	NM_001123068
FAM72C	NM_001287385
FAM72D	NM_207418
NBPF20	NM_001278267
AL592284.1	ENST00000538264
PPIAL4C	NM_001135789
PPIAL4B	NM_001143883
NBPF8	NM_001037501
NBPF9	NM_001277444
PDE4DIP	NM_001198834
AL590452.1	ENST00000596396
