NM_001005484	OR4F5
NM_021995	UTS2
NM_001561	TNFRSF9
NM_001123377	PARK7
NM_018948	ERRFI1
NM_001080397	SLC45A1
NM_001042681	RERE
NM_001428	ENO1
NM_001270500	CA6
NM_207420	SLC2A7
NM_003039	SLC2A5
NM_024980	GPR157
NM_004285	H6PD
NM_025106	SPSB1
NM_032315	SLC25A33
NM_001130924	TMEM201
ENST00000377320	C1orf200
NM_005026	PIK3CD
NM_001009566	CLSTN1
NM_001012329	CTNNBIP1
NM_032368	LZIC
NM_001297778	NMNAT1
NM_052960	RBP7
NM_001105562	UBE4B
NM_015074	KIF1B
NM_002631	PGD
NM_199294	APITD1
NM_198544	APITD1-CORT
NM_001302	CORT
NM_004401	DFFA
NM_004565	PEX14
NM_001079843	CASZ1
NM_001170754	C1orf127
NM_007375	TARDBP
NM_006610	MASP2
NM_003132	SRM
NM_001001998	EXOSC10
NM_004958	MTOR
NM_021146	ANGPTL7
NM_013319	UBIAD1
NM_020780	PTCHD2
NM_012168	FBXO2
NM_033182	FBXO44
NM_018438	FBXO6
NM_006341	MAD2L2
NM_198545	DRAXIN
NM_001040196	AGTRAP
NM_001010881	C1orf167
NM_005957	MTHFR
NM_001286	CLCN6
NM_006172	NPPA
NM_002521	NPPB
NM_138346	KIAA2013
NM_000302	PLOD1
NM_014874	MFN2
NM_021933	MIIP
NM_001243	TNFRSF8
NM_001066	TNFRSF1B
NM_015378	VPS13D
NM_004753	DHRS3
NM_001013630	AADACL4
NM_001103170	AADACL3
NM_152290	C1orf158
NM_001080830	PRAMEF12
NM_023013	PRAMEF1
NM_001146344	PRAMEF11
NM_001013631	HNRNPCL1
NM_001146181	LOC649330
NM_023014	PRAMEF2
NM_001009611	PRAMEF4
NM_001012277	PRAMEF7
NM_001012276	PRAMEF8
NM_001300891	PRAMEF6
NM_001010890	PRAMEF9
NM_001100631	PRAMEF22
NM_001099850	LOC391003
ENST00000436041	WI2-3308P17.2
NM_001013407	PRAMEF5
NM_001136561	HNRNPCP5
ENST00000423177	PRAMEF26
ENST00000376173	PRAMEF3
NM_001039361	PRAMEF10
NM_001291381	LOC645382
NM_001098376	PRAMEF15
NM_001024661	PRAMEF14
NM_001291380	LOC400736
ENST00000376132	PRAMEF13
NM_001099790	PRAMEF19
ENST00000376126	PRAMEF18
NM_001099851	PRAMEF17
NM_001045480	PRAMEF16
NM_001099852	PRAMEF20
ENST00000332192	PRAMEF21
NM_001010847	LRRC38
NM_006474	PDPN
NM_012231	PRDM2
NM_201628	KAZN
NM_001278501	C1orf195
NM_001136216	TMEM51
NM_052929	FHAD1
NM_024329	EFHD2
NM_007272	CTRC
NM_033440	CELA2A
NM_015849	CELA2B
NM_001229	CASP9
NM_015291	DNAJC16
NM_024758	AGMAT
NM_032341	DDI2
NM_006511	RSC1A1
NM_015164	PLEKHM2
NM_207348	SLC25A34
NM_001013641	TMEM82
NM_017556	FBLIM1
NM_001089591	UQCRHL
NM_015001	SPEN
NM_001287603	ZBTB17
NM_178840	C1orf64
NM_014424	HSPB7
NM_004070	CLCNKA
NM_000085	CLCNKB
NM_182623	FAM131C
NM_004431	EPHA2
NM_153213	ARHGEF19
ENST00000375605	C1orf134
NM_030907	RSG1
NM_018994	FBXO42
NM_001114600	SZRD1
NM_198546	SPATA21
NM_018090	NECAP2
ENST00000601199	FAM231B
NM_017940	NBPF1
NM_001282321	FAM231A
ENST00000600179	FAM231C
NM_001271733	MST1L
NM_014675	CROCC
NM_017459	MFAP2
NM_022089	ATP13A2
NM_003000	SDHB
NM_007365	PADI2
NM_013358	PADI1
NM_016233	PADI3
NM_012387	PADI4
ENST00000602074	AC004824.2
NM_207421	PADI6
NM_001136204	RCC2
NM_018125	ARHGEF10L
NM_030812	ACTL8
NM_032880	IGSF21
NM_152375	KLHDC7A
NM_002584	PAX7
NM_152232	TAS1R2
NM_003748	ALDH4A1
NM_001136265	IFFO2
ENST00000494072	RP13-279N23.2
NM_020765	UBR4
NM_015047	EMC1
NM_016183	MRTO4
NM_012067	AKR7A3
NM_003689	AKR7A2
NM_017765	PQLC2
NM_004930	CAPZB
NM_001204083	MINOS1
NM_001204088	MINOS1-NBL1
NM_182744	NBL1
NM_000871	HTR6
NM_181719	TMCO4
NM_019062	RNF186
NM_015207	OTUD3
NM_014589	PLA2G2E
NM_000300	PLA2G2A
NM_000929	PLA2G5
NM_012400	PLA2G2D
NM_022819	PLA2G2F
NM_001105572	PLA2G2C
NM_152376	UBXN10
NM_001039500	VWA5B1
NM_018584	CAMK2N1
NM_024544	MUL1
NM_207334	FAM43B
NM_001785	CDA
NM_032409	PINK1
NM_005216	DDOST
NM_020816	KIF17
NM_001103161	SH2D5
NM_016287	HP1BP3
NM_001198801	EIF4G3
NM_001397	ECE1
NM_032264	NBPF3
NM_000478	ALPL
NM_001145658	RAP1GAP
NM_032236	USP48
NM_001013693	LDLRAD2
NM_005529	HSPG2
NM_007352	CELA3B
NM_005747	CELA3A
NM_001791	CDC42
NM_030761	WNT4
NM_014870	ZBTB40
NM_020526	EPHA8
NM_015991	C1QA
NM_172369	C1QC
NM_000491	C1QB
NM_004442	EPHB2
NM_001289974	LACTBL1
NM_001242521	C1orf234
NM_001009999	KDM1A
NM_033631	LUZP1
NM_000864	HTR1D
NM_001102398	HNRNPR
NM_030634	ZNF436
ENST00000335648	C1orf213
NM_003196	TCEA3
NM_017707	ASAP3
NM_004091	E2F2
NM_002167	ID3
ENST00000374555	MDS2
NM_000975	RPL11
NM_003198	TCEB3
NM_020362	PITHD1
NM_007260	LYPLA2
NM_000403	GALE
NM_000191	HMGCL
NM_000147	FUCA1
NM_001841	CNR2
NM_017761	PNRC2
NM_054016	SRSF10
NM_152372	MYOM3
NM_021258	IL22RA1
NM_170743	IFNLR1
NM_198174	GRHL3
NM_001199013	STPG1
NM_020448	NIPAL3
NM_001251978	RCAN3
NM_001010980	NCMAP
NM_005839	SRRM1
NM_013943	CLIC4
NM_001031680	RUNX3
NM_015484	SYF2
ENST00000417642	C1orf63
NM_020317	RSRP1
NM_001282871	RHD
NM_014313	TMEM50A
NM_020485	RHCE
NM_018202	TMEM57
NM_015627	LDLRAP1
NM_020379	MAN1C1
NM_020451	SEPN1
ENST00000527604	RP1-317E23.6
ENST00000536896	AL020996.1
NM_001099625	MTFR1L
NM_001287490	AUNIP
NM_178422	PAQR7
NM_001145454	STMN1
NM_000437	PAFAH2
NM_004455	EXTL1
NM_001004434	SLC30A2
NM_032588	TRIM63
NM_152835	PDIK1L
NM_024869	FAM110D
NM_015871	ZNF593
NM_001297647	CNKSR1
NM_198137	CATSPER4
NM_022778	CEP85
NM_031286	SH3BGRL3
NM_183008	UBXN11
NM_001803	CD52
NM_001039775	AIM1L
NM_173574	ZNF683
NM_024674	LIN28A
NM_024887	DHDDS
NM_005517	HMGN2
NM_002953	RPS6KA1
NM_006015	ARID1A
NM_001202554	PIGV
NM_032283	ZDHHC18
NM_006142	SFN
NM_018066	GPN2
NM_022078	GPATCH3
NM_021969	NR0B2
NM_006600	NUDC
NM_152365	C1orf172
NM_001013642	TRNP1
NM_052943	FAM46B
NM_003047	SLC9A1
NM_001276252	WDTC1
NM_032125	TMEM222
NM_001193308	SYTL1
NM_004672	MAP3K6
NM_003665	FCN3
NM_207397	CD164L2
NM_005281	GPR3
NM_006990	WASF2
NM_001029882	AHDC1
NM_005248	FGR
NM_022873	IFI6
NM_001143912	FAM76A
NM_177424	STX12
NM_014110	PPP1R8
ENST00000601459	AL109927.1
NM_001105556	THEMIS2
NM_001297558	RPA2
NM_014474	SMPDL3B
NM_018053	XKR8
NM_001990	EYA3
NM_000952	PTAFR
ENST00000321830	AL353354.1
ENST00000596102	AL353354.2
NM_014280	DNAJC8
NM_016311	ATPIF1
NM_031459	SESN2
NM_017638	MED18
NM_023923	PHACTR4
NM_001048194	RCC1
NM_017846	TRNAU1AP
NM_001193532	RAB42
NM_005644	TAF12
NM_006582	GMEB1
NM_001173128	YTHDF2
NM_000911	OPRD1
NM_004437	EPB41
NM_001003682	TMEM200B
NM_005626	SRSF4
NM_016011	MECR
NM_005704	PTPRU
NM_002379	MATN1
NM_006762	LAPTM5
NM_014654	SDC3
NM_001020658	PUM1
NM_024522	NKAIN1
NM_004814	SNRNP40
NM_001282566	ZCCHC17
NM_004102	FABP3
NM_001199038	SERINC2
ENST00000596131	AC114494.1
NM_022164	TINAGL1
NM_001525	HCRTR1
NM_012392	PEF1
NM_001856	COL16A1
NM_001294335	BAI2
NM_144569	SPOCD1
NM_080391	PTP4A2
ENST00000391369	AL136115.1
NM_006559	KHDRBS1
NM_018056	TMEM39B
NM_012316	KPNA6
NM_175852	TXLNA
NM_024296	CCDC28B
NM_001160042	IQCC
NM_001099434	DCDC2B
NM_019118	TMEM234
NM_003757	EIF3I
NM_032648	FAM167B
NM_005356	LCK
NM_004964	HDAC1
NM_023009	MARCKSL1
NM_001167676	FAM229A
NM_052841	TSSK3
NM_001300958	BSDC1
NM_001145720	ZBTB8B
ENST00000480336	RP1-27O5.3
NM_001040441	ZBTB8A
NM_178547	ZBTB8OS
NM_005610	RBBP4
NM_030786	SYNC
NM_020888	KIAA1522
NM_003680	YARS
NM_022753	S100PBP
NM_153756	FNDC5
NM_002143	HPCA
NM_033504	TMEM54
NM_153341	RNF19B
ENST00000594612	FKSG48
NM_013411	AK2
NM_001293562	ADC
NM_018207	TRIM62
NM_152493	ZNF362
NM_001080438	A3GALT2
NM_198040	PHC2
NM_145238	ZSCAN20
NM_001281956	CSMD2
NM_145205	HMGB4
NM_001134734	C1orf94
NM_005268	GJB5
NM_153212	GJB4
NM_024009	GJB3
NM_002060	GJA4
NM_001164824	SMIM12
NM_001080418	DLGAP3
NM_001195156	ZMYM6NB
ENST00000487874	RP11-244H3.4
NM_007167	ZMYM6
NM_024772	ZMYM1
NM_005066	SFPQ
NM_005095	ZMYM4
NM_024874	KIAA0319L
NM_001014839	NCDN
NM_178548	TFAP2E
NM_002794	PSMB2
NM_152374	C1orf216
NM_022111	CLSPN
NM_017629	AGO4
NM_012199	AGO1
NM_024852	AGO3
NM_014466	TEKT2
NM_017825	ADPRHL2
NM_005202	COL8A2
NM_001270894	TRAPPC3
NM_018067	MAP7D1
NM_005119	THRAP3
NM_001162530	SH3D21
NM_018166	EVA1B
ENST00000373137	RP11-268J15.5
NM_001282546	STK40
NM_032881	LSM10
NM_145047	OSCP1
NM_031280	MRPS15
NM_156039	CSF3R
NM_000831	GRIK3
NM_025079	ZC3H12A
NM_022756	MEAF6
NM_024700	SNIP1
NM_003462	DNALI1
NM_013285	GNL2
NM_001242908	RSPO1
NM_017850	C1orf109
NM_001256875	CDCA8
NM_001099439	EPHA10
NM_001113482	MANEAL
NM_024640	YRDC
NM_198446	C1orf122
NM_005955	MTF1
ENST00000448796	AL929472.1
NM_005540	INPP5B
NM_006802	SF3A3
NM_004468	FHL3
NM_016037	UTP11L
NM_002699	POU3F1
NM_022157	RRAGC
NM_012333	MYCBP
NM_030772	GJA9
NM_017821	RHBDL2
NM_024595	AKIRIN1
NM_001184979	NDUFS5
NM_012090	MACF1
NM_015038	KIAA0754
NM_181809	BMP8A
NM_001135653	PABPC4
NM_014571	HEYL
NM_032526	NT5C1A
NM_016257	HPCAL4
NM_001195007	PPIE
NM_001720	BMP8B
NM_022120	OXCT2
NM_017646	TRIT1
NM_001033082	MYCL
NM_001136493	MFSD2A
NM_001105530	CAP1
NM_000310	PPT1
NM_012421	RLF
NM_001008740	TMCO2
NM_005857	ZMPSTE24
NM_001852	COL9A2
NM_022733	SMAP2
NM_023070	ZFP69B
NM_198494	ZFP69
NM_022774	EXO5
NM_152373	ZNF684
NM_014747	RIMS3
NM_001142588	NFYC
NM_004700	KCNQ4
NM_133467	CITED4
NM_001905	CTPS1
NM_144990	SLFNL1
NM_001172219	SCMH1
NM_001291281	FOXO6
NM_001956	EDN2
NM_024503	HIVEP3
NM_007102	GUCA2B
NM_033553	GUCA2A
NM_001198850	FOXJ3
NM_173642	RIMKLA
NM_032257	ZMYND12
NM_024664	PPCS
NM_001080850	CCDC30
NM_006347	PPIH
NM_004559	YBX1
NM_148960	CLDN19
NM_001243246	LEPRE1
NM_024097	C1orf50
NM_001242750	LOC100129924
NM_199342	CCDC23
NM_018538	ERMAP
NM_001242739	ZNF691
NM_006516	SLC2A1
NM_001101376	FAM183A
NM_001159936	EBNA1BP2
NM_001195831	WDR65
NM_144626	TMEM125
NM_182517	C1orf210
NM_005424	TIE1
NM_005373	MPL
NM_001255	CDC20
NM_022821	ELOVL1
NM_052877	MED8
NM_015284	SZT2
NM_001243526	HYI
NM_002840	PTPRF
NM_014663	KDM4A
NM_174963	ST3GAL3
NM_001136215	ARTN
NM_014652	IPO13
NM_001384	DPH2
NM_001294333	ATP6V0B
NM_030587	B4GALT2
NM_152499	CCDC24
NM_201649	SLC6A9
NM_173484	KLF17
NM_019100	DMAP1
NM_024066	ERI3
NM_018150	RNF220
NM_024587	TMEM53
NM_001145636	C1orf228
NM_006845	KIF2C
NM_001012	RPS8
NM_153274	BEST4
NM_004073	PLK3
NM_001013632	TCTEX1D4
NM_001136537	BTBD19
NM_003738	PTCH2
NM_020365	EIF2B3
NM_024602	HECTD3
NM_000374	UROD
NM_020883	ZSWIM5
NM_032756	HPDL
NM_001128425	MUTYH
NM_025077	TOE1
NM_007170	TESK2
ENST00000488405	CCDC163P
NM_015506	MMACHC
NM_002574	PRDX1
NM_001202414	AKR1A1
NM_002482	NASP
NM_001114938	CCDC17
NM_021639	GPBP1L1
NM_016486	TMEM69
NM_001145349	IPP
NM_015112	MAST2
NM_003629	PIK3R3
NM_005727	TSPAN1
NM_001243766	POMGNT1
NM_001013615	LURAP1
NM_001142548	RAD54L
NM_006369	LRRC41
NM_006004	UQCRH
NM_199044	NSUN4
NM_001441	FAAH
NM_147192	DMBX1
NM_001097611	KNCN
NM_003684	MKNK1
NM_145279	MOB3C
NM_022745	ATPAF1
NM_001145474	TEX38
NM_014774	EFCAB14
NM_001099772	CYP4B1
NM_000778	CYP4A11
NM_178033	CYP4X1
NM_178134	CYP4Z1
NM_001010969	CYP4A22
NM_005764	PDZK1IP1
NM_001290404	TAL1
NM_001048166	STIL
NM_016308	CMPK1
NM_012186	FOXE3
NM_004474	FOXD2
ENST00000594280	FLJ00388
NM_001194986	TRABD2B
ENST00000601108	AL109659.1
NM_001135181	SLC5A9
NM_019073	SPATA6
NM_032785	AGBL4
NM_024603	BEND5
ENST00000448346	AL645730.2
NM_001144775	ELAVL4
NM_032110	DMRTA2
NM_007051	FAF1
NM_078626	CDKN2C
NM_001136508	C1orf185
NM_014372	RNF11
NM_001297665	TTC39A
NM_001981	EPS15
NM_148909	OSBPL9
NM_002525	NRD1
NM_002867	RAB3B
NM_015913	TXNDC12
NM_138417	KTI12
NM_152265	BTF3L4
NM_004799	ZFYVE9
NM_032449	CC2D1B
NM_004153	ORC1
NM_032864	PRPF38A
NM_001009881	ZCCHC11
NM_015696	GPX7
NM_001042693	FAM159A
NM_023077	COA7
NM_024646	ZYG11B
NM_001004339	ZYG11A
NM_001198961	ECHDC2
NM_002979	SCP2
NM_153703	PODN
NM_001287595	SLC1A7
NM_000098	CPT2
NM_017887	C1orf123
NM_002370	MAGOH
NM_004631	LRP8
NM_033067	DMRTB1
NM_147193	GLIS1
NM_018087	NDC1
NM_018982	YIPF1
NM_000792	DIO1
NM_016126	HSPB11
NM_052940	LRRC42
NM_001010978	LDLRAD1
NM_004872	TMEM59
NM_153035	TCEANC2
ENST00000391366	AL161915.1
NM_201546	CDCP2
ENST00000536061	AL357673.1
NM_001031672	CYB5RL
ENST00000311841	RP11-446E24.4
NM_016491	MRPL37
NM_145716	SSBP3
ENST00000361350	SSBP3-AS1
NM_015547	ACOT11
NM_176782	FAM151A
NM_001039464	MROH7
ENST00000414150	MROH7-TTC4
NM_004623	TTC4
NM_152268	PARS2
NM_001114108	TTC22
NM_001110533	C1orf177
NM_014762	DHCR24
NM_182532	TMEM61
NM_057176	BSND
NM_174936	PCSK9
NM_015306	USP24
NM_003713	PPAP2B
NM_006252	PRKAA2
NM_001004303	C1orf168
NM_000562	C8A
NM_000066	C8B
NM_021080	DAB1
NM_145243	OMA1
NM_002353	TACSTD2
NM_001085487	MYSM1
NM_002228	JUN
NM_001113411	FGGY
NM_015888	HOOK1
NM_000775	CYP2J2
NM_152377	C1orf87
NM_001145512	NFIA
NM_032027	TM2D1
NM_176877	INADL
NM_001164835	L1TD1
NM_181712	KANK4
NM_003368	USP1
NM_001271999	DOCK7
NM_014495	ANGPTL3
ENST00000593719	AL138847.1
NM_178221	ATG4C
NM_012183	FOXD3
NM_013339	ALG6
NM_001206739	ITGB3BP
NM_032437	EFCAB7
ENST00000371086	DLEU2L
NM_001172818	PGM1
NM_005012	ROR1
NM_152489	UBE2U
NM_020925	CACHD1
NM_018211	RAVER2
NM_002227	JAK1
NM_001005353	AK4
NM_001256864	DNAJC6
NM_001198681	LEPROT
NM_002303	LEPR
NM_001037341	PDE4B
NM_032291	SGIP1
ENST00000502413	AL139147.1
NM_152665	TCTEX1D1
NM_005478	INSL5
NM_024763	WDR78
NM_001077700	MIER1
NM_015139	SLC35D1
NM_001276351	C1orf141
NM_144701	IL23R
NM_001559	IL12RB2
NM_001018067	SERBP1
NM_001924	GADD45A
NM_018841	GNG12
NM_004675	DIRAS3
NM_001002292	WLS
NM_000329	RPE65
NM_001114120	DEPDC1
NM_020794	LRRC7
NM_017768	LRRC40
NM_004768	SRSF11
NM_030816	ANKRD13C
NM_001031693	HHLA3
NM_001902	CTH
NM_198718	PTGER3
NM_203350	ZRANB2
NM_173808	NEGR1
NM_001105659	LRRIQ3
NM_003838	FPGT
NM_001112808	FPGT-TNNI3K
NM_015978	TNNI3K
ENST00000294635	LRRC53
ENST00000326665	C1orf173
NM_001002912	ERICH3
NM_001130042	CRYZ
NM_138467	TYW3
NM_001001933	LHX8
NM_152697	SLC44A5
NM_001286043	ACADM
NM_004582	RABGGTB
NM_002440	MSH4
NM_080868	ASB17
NM_152996	ST6GALNAC3
NM_030965	ST6GALNAC5
NM_005482	PIGK
NM_174858	AK5
NM_015534	ZZZ3
NM_015017	USP33
NM_001270384	FAM73A
NM_144573	NEXN
NM_003902	FUBP1
NM_007034	DNAJB4
NM_017655	GIPC2
NM_000959	PTGFR
NM_006820	IFI44L
NM_006417	IFI44
NM_022159	ELTD1
NM_012302	LPHN2
NM_024686	TTLL7
NM_001242857	PRKACB
NM_001010971	SAMD13
NM_021233	DNASE2B
NM_025065	RPF1
NM_005274	GNG5
NM_004388	CTBS
ENST00000370624	C1orf180
NM_014021	SSX2IP
NM_012152	LPAR3
NM_153259	MCOLN2
NM_018298	MCOLN3
NM_145172	WDR63
NM_032184	SYDE2
NM_198077	C1orf52
NM_003921	BCL10
NM_012137	DDAH1
NM_001554	CYR61
NM_017953	ZNHIT6
NM_152890	COL24A1
NM_001007022	ODF2L
NM_006536	CLCA2
NM_001285	CLCA1
NM_012128	CLCA4
NM_001206652	SH3GLB1
NM_004261	SEP15
NM_012262	HS2ST1
ENST00000370548	RP5-1052I5.2
NM_001290053	LOC101927844
NM_006769	LMO4
NM_006256	PKN2
NM_001514	GTF2B
NM_001008661	CCBL2
NM_019610	RBMXL1
NM_018284	GBP3
NM_002053	GBP1
NM_004120	GBP2
NM_207398	GBP7
NM_052941	GBP4
NM_052942	GBP5
NM_198460	GBP6
NM_015350	LRRC8B
ENST00000370453	RP11-302M6.4
NM_032270	LRRC8C
NM_001134479	LRRC8D
NM_182976	ZNF326
NM_020063	BARHL2
NM_201269	ZNF644
NM_001017975	HFM1
NM_001134420	CDC7
NM_003243	TGFBR3
NM_001242806	BRDT
NM_173567	EPHX4
NM_001287737	SETSIP
NM_183242	BTBD8
NM_015237	KIAA1107
NM_001012425	C1orf146
NM_053274	GLMN
NM_024813	RPAP2
NM_005263	GFI1
NM_005665	EVI5
NM_000969	RPL5
NM_001006605	FAM69A
NM_007358	MTF2
NM_016040	TMED5
NM_206886	CCDC18
NM_001938	DR1
NM_001164473	FNBP1L
NM_001261408	BCAR3
NM_014597	DNTTIP2
NM_002061	GCLM
NM_000350	ABCA4
NM_004815	ARHGAP29
NM_002858	ABCD3
NM_001993	F3
NM_001114106	SLC44A3
NM_001839	CNN3
NM_144988	ALG14
NM_001199679	TMEM56
NM_001199691	TMEM56-RWDD3
NM_015485	RWDD3
ENST00000413825	RP11-147C23.1
NM_001300986	PTBP2
NM_000110	DPYD
NM_015976	SNX7
NM_001037317	LPPR5
NM_014839	LPPR4
NM_017734	PALMD
NM_001013660	FRRS1
NM_000643	AGL
NM_001271685	SLC35A3
NM_033055	HIAT1
NM_194292	SASS6
NM_019083	TRMT13
NM_001256385	LRRC39
NM_001918	DBT
NM_001130841	RTCA
NM_033312	CDC14A
NM_022049	GPR88
NM_001078	VCAM1
NM_001261441	EXTL2
NM_133496	SLC30A7
NM_015958	DPH5
ENST00000593496	AC093157.1
NM_001400	S1PR1
NM_001288821	OLFM3
NM_080629	COL11A1
NM_001286997	LOC101928436
NM_017619	RNPC3
NM_020978	AMY2B
NM_000699	AMY2A
NM_004038	AMY1A
NM_001008219	AMY1C
NM_001008218	AMY1B
NM_018137	PRMT6
NM_001113226	NTNG1
NM_006113	VAV3
NM_013386	SLC25A24
NM_001143989	NBPF4
NM_001143987	NBPF6
NM_001010883	FAM102B
NM_144584	HENMT1
NM_018061	PRPF38B
NM_001144937	FNDC7
NM_007269	STXBP3
NM_152763	AKNAD1
NM_013296	GPSM2
NM_001048210	CLCC1
NM_001142550	WDR47
NM_005645	TAF13
NM_020141	TMEM167B
NM_001122961	C1orf194
NM_020775	KIAA1324
NM_006513	SARS
NM_001408	CELSR2
NM_032636	PSRC1
NM_001010985	MYBPHL
NM_002959	SORT1
NM_002790	PSMA5
NM_001040709	SYPL2
NM_153340	ATXN7L2
NM_001134400	CYB561D1
NM_020703	AMIGO1
NM_031936	GPR61
NM_006496	GNAI3
NM_005272	GNAT2
NM_001257360	AMPD2
NM_000850	GSTM4
NM_000848	GSTM2
NM_000561	GSTM1
NM_000851	GSTM5
NM_000849	GSTM3
NM_139053	EPS8L3
NM_172212	CSF1
NM_006621	AHCYL1
NM_033088	STRIP1
NM_006492	ALX3
NM_203412	UBL4B
NM_001010898	SLC6A17
NM_004978	KCNC4
NM_022768	RBM15
NM_004696	SLC16A4
NM_006402	LAMTOR5
NM_032414	PROK1
NM_005549	KCNA10
NM_004974	KCNA2
NM_002232	KCNA3
NM_001040033	CD53
NM_018372	LRIF1
NM_178454	DRAM2
NM_006090	CEPT1
NM_024901	DENND2D
NM_004000	CHI3L2
NM_201653	CHIA
NM_181643	PIFO
NM_002557	OVGP1
NM_024102	WDR77
NM_001688	ATP5F1
NM_174896	C1orf162
NM_020683	ADORA3
NM_002884	RAP1A
NM_019099	FAM212B
NM_007204	DDX20
NM_004980	KCND3
NM_001270945	LOC643355
NM_018704	CTTNBP2NL
NM_024494	WNT2B
NM_017744	ST7L
NM_006135	CAPZA1
NM_001130079	MOV10
NM_001042678	RHOC
ENST00000606505	RP11-426L16.10
NM_005167	PPM1J
NM_001004440	FAM19A3
NM_003051	SLC16A1
NM_014813	LRIG2
NM_001142782	MAGI3
NM_006608	PHTF1
NM_018364	RSBN1
NM_015967	PTPN22
NM_001010922	BCL2L15
NM_006594	AP4B1
NM_022836	DCLRE1B
NM_198268	HIPK1
NM_020190	OLFML3
NM_001270805	SYT6
NM_015906	TRIM33
NM_005872	BCAS2
NM_001256404	DENND2C
NM_001172626	AMPD1
NM_002524	NRAS
NM_001242891	CSDE1
NM_001102396	SIKE1
NM_003176	SYCP1
NM_000549	TSHB
NM_005725	TSPAN2
NM_002506	NGF
NM_001172412	VANGL1
NM_001232	CASQ2
NM_005599	NHLH2
NM_018420	SLC22A15
NM_152367	MAB21L3
ENST00000598661	AL136376.1
NM_000701	ATP1A1
NM_001779	CD58
NM_001542	IGSF3
NM_001013643	C1orf137
NM_001767	CD2
NM_020440	PTGFRN
NM_004258	CD101
NM_003594	TTF2
NM_025188	TRIM45
NM_024626	VTCN1
NM_006699	MAN1A2
NM_017709	FAM46C
NM_017686	GDAP2
NM_006784	WDR3
NM_206996	SPAG17
NM_152380	TBX15
NM_015836	WARS2
NM_001005783	HAO2
NM_000198	HSD3B2
NM_000862	HSD3B1
NM_001080470	ZNF697
NM_006623	PHGDH
NM_005518	HMGCS2
NM_032044	REG4
NM_001047980	NBPF7
NM_021794	ADAM30
NM_024408	NOTCH2
NM_001100910	FAM72B
NM_001017986	FCGR1B
NM_001123068	PPIAL4G
NM_001287385	FAM72C
NM_207418	FAM72D
NM_001278267	NBPF20
ENST00000538264	AL592284.1
NM_001135789	PPIAL4C
NM_001143883	PPIAL4B
NM_001037501	NBPF8
NM_001277444	NBPF9
NM_001198834	PDE4DIP
ENST00000596396	AL590452.1
